RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
SMNDC1,HepG2,ENCSR373ODC,ENCSR388VKV,"ENCFF643XEW,ENCFF347ARQ,ENCFF911CAB,ENCFF963AVW","ENCFF468CQU,ENCFF966TSJ","ENCFF230AER,ENCFF240MCZ",ENCFF693EMF,SMNDC1 eCLIP mock input,"ENCFF040CHT,ENCFF993KFQ",ENCFF410TUD
PCBP2,HepG2,ENCSR339FUY,ENCSR115GAA,"ENCFF332NKK,ENCFF359KSX,ENCFF893VXG,ENCFF488GID","ENCFF812IPR,ENCFF032HWP","ENCFF074AQN,ENCFF322DXB",ENCFF560CDL,PCBP2 eCLIP mock input,"ENCFF837BRE,ENCFF130FRI",ENCFF124RDW
DDX3X,K562,ENCSR930BZL,ENCSR028CRL,"ENCFF943MML,ENCFF151JUK,ENCFF029BAQ,ENCFF357NSP","ENCFF260CNL,ENCFF188BJH","ENCFF737SOJ,ENCFF039BKT",ENCFF667MXK,DDX3X eCLIP mock input,"ENCFF006DQH,ENCFF768GAB",ENCFF697EJY
SBDS,K562,ENCSR059CWF,ENCSR038TMA,"ENCFF523LSW,ENCFF114WDK,ENCFF932LRA,ENCFF385QVY","ENCFF974XMI,ENCFF840JWJ","ENCFF175EIG,ENCFF873TSY",ENCFF105PMR,SBDS eCLIP mock input,"ENCFF397TYS,ENCFF270EUA",ENCFF310FMZ
KHDRBS1,K562,ENCSR628IDK,ENCSR197NFH,"ENCFF289UZZ,ENCFF651RTO,ENCFF676NAG,ENCFF947CCD","ENCFF608WLW,ENCFF352QTY","ENCFF052ABQ,ENCFF390ANM",ENCFF124YKO,KHDRBS1 eCLIP mock input,"ENCFF413EEC,ENCFF949DMR",ENCFF721FKR
NPM1,K562,ENCSR867DSZ,ENCSR468ZQA,"ENCFF217PBP,ENCFF741BIN,ENCFF938BSK,ENCFF996KND","ENCFF415BMS,ENCFF531FNJ","ENCFF743GIA,ENCFF392QAQ",ENCFF545FMX,NPM1 eCLIP mock input,"ENCFF040BAA,ENCFF209VJW",ENCFF494JUE
GNL3,K562,ENCSR301UQM,ENCSR977GTT,"ENCFF424ZQP,ENCFF364XWE,ENCFF509YYT,ENCFF410KLG","ENCFF282DMO,ENCFF379DSY","ENCFF943BFF,ENCFF004XHQ",ENCFF800XSC,GNL3 eCLIP mock input,"ENCFF720COV,ENCFF892UQR",ENCFF419JON
YWHAG,K562,ENCSR867ZVK,ENCSR812PBU,"ENCFF498FKK,ENCFF010GZO,ENCFF803FES,ENCFF973PMP","ENCFF352NIP,ENCFF463WLQ","ENCFF240CRZ,ENCFF467LHB",ENCFF363FKB,YWHAG eCLIP mock input,"ENCFF661RIY,ENCFF101JTN",ENCFF481AIY
PTBP1,K562,ENCSR981WKN,ENCSR445FZX,"ENCFF019TEQ,ENCFF989UNR,ENCFF689XJE,ENCFF273VIJ","ENCFF517FVN,ENCFF247DQN","ENCFF262NXW,ENCFF200AWX",ENCFF924CZR,PTBP1 eCLIP mock input,"ENCFF905RDN,ENCFF960RXN",ENCFF982TFI
APOBEC3C,K562,ENCSR739VVT,ENCSR382QLC,"ENCFF260KKZ,ENCFF713YLQ,ENCFF023SPX,ENCFF285GQG,ENCFF655HJD,ENCFF774VNR,ENCFF082VYL,ENCFF392MTE,ENCFF315VJK,ENCFF315EQH","ENCFF346VFW,ENCFF398XYR","ENCFF519AJS,ENCFF319VBB",ENCFF736YDH,APOBEC3C eCLIP mock input,"ENCFF718JPO,ENCFF417GHU",ENCFF420VUM
SRSF7,K562,ENCSR468FSW,ENCSR145PHJ,"ENCFF077YYE,ENCFF789FCB,ENCFF931PJS,ENCFF447CPA","ENCFF302CUU,ENCFF542LDV","ENCFF939AMV,ENCFF090BZK",ENCFF449ZHX,SRSF7 eCLIP mock input,"ENCFF394FLG,ENCFF770WMT",ENCFF182OOU
