group_id	chunk_id
16427	21
23030	21
6260	21
33260	21
26032	21
4650	21
16056	21
11185	21
30790	21
20956	21
7825	21
30546	21
13801	21
32617	21
1377	21
15994	21
22670	21
30559	21
20016	21
24792	21
18258	21
30018	21
11769	21
33299	21
20748	21
3717	21
13447	21
10798	22
7191	22
28940	22
8267	22
31991	22
308	22
16618	22
1604	22
19240	22
27349	22
23043	22
22765	22
609	22
2918	22
20323	22
20115	22
28653	22
19240	22
28816	22
22592	22
26595	22
27349	22
18559	22
24149	22
24057	22
31701	22
16376	22
19569	22
23043	22
29320	22
9185	22
18474	22
24149	22
23542	22
30301	22
3086	22
24057	22
22546	22
12651	22
5563	22
29083	22
2878	22
26698	22
31701	22
13670	22
13184	22
12227	22
5033	22
12651	22
4577	22
4742	22
17064	22
5563	22
19663	22
3679	22
20048	22
14215	22
1289	22
18463	22
29083	22
651	22
7502	22
4107	22
19663	22
21153	22
14012	22
30591	22
3679	22
28887	22
16600	22
19758	22
20048	22
32087	22
13368	22
6088	22
17729	22
11488	22
1279	22
32087	22
6246	22
26365	22
20002	22
13368	22
7057	22
31333	22
13038	22
6088	22
556	22
5251	22
29488	22
10203	22
7090	22
556	22
15851	22
9146	22
31054	22
5251	22
27165	22
15254	22
1332	22
29488	22
25006	22
2284	22
4792	22
3416	22
10580	22
25061	22
32846	22
2284	22
33219	22
11291	22
14231	22
4792	22
17582	22
12167	22
24646	22
23029	22
23058	22
23095	22
3416	22
12117	22
30151	22
4015	22
17582	22
8573	22
30999	22
16738	22
12167	22
19381	22
10365	22
22432	22
24646	22
26788	22
12746	22
28419	22
26788	22
7236	22
10308	22
22744	22
12746	22
15845	22
17550	22
26472	22
28419	22
18545	22
13045	22
26200	22
1485	22
6765	22
10091	22
15634	23
4130	23
15905	23
22287	23
22725	23
23268	23
313	23
10085	23
11532	23
3705	23
29013	23
16398	23
19689	23
29374	23
8134	23
438	24
28944	24
9773	24
8304	24
28391	24
6281	24
13883	24
14146	24
29571	24
16929	24
29230	24
8249	24
16476	24
7944	24
19621	24
11022	25
15894	25
15140	25
4546	25
9260	25
5482	25
12905	25
4981	25
9078	25
7573	25
25403	25
24807	25
2935	25
180	25
4490	25
9078	25
14096	25
12753	25
28111	25
31278	25
3495	25
856	25
7573	25
30042	25
27033	25
5999	25
25403	25
22938	25
29629	25
9508	25
6759	25
5890	25
1581	25
12304	25
18757	25
31278	25
18277	25
4761	25
15810	25
3495	25
9851	25
25457	25
4592	25
856	25
24137	25
7175	25
6759	25
32973	25
13498	25
5890	25
20571	25
17353	25
5072	25
4338	25
31243	25
9654	25
